[2025-07-14 16:25:22] ✅ LAUNCHED [20250714_162522]: algo=NSGA2 | P=0.01 | C=0.5 | eta=15 | seed=1605 | session=moo_NSGA2_P0.01_C0.5_E15_S1605_20250714_162522
[2025-07-14 16:25:22] ✅ LAUNCHED [20250714_162522]: algo=NSGA2 | P=0.01 | C=0.5 | eta=15 | seed=1017 | session=moo_NSGA2_P0.01_C0.5_E15_S1017_20250714_162522
[2025-07-14 16:25:22] ✅ LAUNCHED [20250714_162522]: algo=NSGA2 | P=0.01 | C=0.5 | eta=15 | seed=1100 | session=moo_NSGA2_P0.01_C0.5_E15_S1100_20250714_162522
[2025-07-14 16:25:22] ✅ LAUNCHED [20250714_162522]: algo=NSGA2 | P=0.01 | C=0.5 | eta=15 | seed=1777 | session=moo_NSGA2_P0.01_C0.5_E15_S1777_20250714_162522
[2025-07-14 16:25:22] ✅ LAUNCHED [20250714_162522]: algo=NSGA2 | P=0.01 | C=0.5 | eta=15 | seed=131 | session=moo_NSGA2_P0.01_C0.5_E15_S131_20250714_162522
[2025-07-14 16:25:22] ✅ LAUNCHED [20250714_162522]: algo=NSGA2 | P=0.01 | C=0.5 | eta=15 | seed=611 | session=moo_NSGA2_P0.01_C0.5_E15_S611_20250714_162522
[2025-07-14 16:25:22] ✅ LAUNCHED [20250714_162522]: algo=NSGA2 | P=0.01 | C=0.5 | eta=15 | seed=1798 | session=moo_NSGA2_P0.01_C0.5_E15_S1798_20250714_162522
[2025-07-14 16:25:22] ✅ LAUNCHED [20250714_162522]: algo=NSGA2 | P=0.01 | C=0.5 | eta=15 | seed=1544 | session=moo_NSGA2_P0.01_C0.5_E15_S1544_20250714_162522
[2025-07-14 16:25:22] ✅ LAUNCHED [20250714_162522]: algo=NSGA2 | P=0.01 | C=0.5 | eta=15 | seed=956 | session=moo_NSGA2_P0.01_C0.5_E15_S956_20250714_162522
[2025-07-14 16:25:22] ✅ LAUNCHED [20250714_162522]: algo=NSGA2 | P=0.01 | C=0.5 | eta=15 | seed=1618 | session=moo_NSGA2_P0.01_C0.5_E15_S1618_20250714_162522
[2025-07-14 16:25:22] ✅ LAUNCHED [20250714_162522]: algo=NSGA2 | P=0.01 | C=0.5 | eta=15 | seed=756 | session=moo_NSGA2_P0.01_C0.5_E15_S756_20250714_162522
[2025-07-14 16:25:22] ✅ LAUNCHED [20250714_162522]: algo=NSGA2 | P=0.01 | C=0.5 | eta=15 | seed=1643 | session=moo_NSGA2_P0.01_C0.5_E15_S1643_20250714_162522
[2025-07-14 16:25:22] ✅ LAUNCHED [20250714_162522]: algo=NSGA2 | P=0.01 | C=0.5 | eta=15 | seed=629 | session=moo_NSGA2_P0.01_C0.5_E15_S629_20250714_162522
[2025-07-14 16:25:22] ✅ LAUNCHED [20250714_162522]: algo=NSGA2 | P=0.01 | C=0.5 | eta=15 | seed=1658 | session=moo_NSGA2_P0.01_C0.5_E15_S1658_20250714_162522
[2025-07-14 16:25:22] ✅ LAUNCHED [20250714_162522]: algo=NSGA2 | P=0.01 | C=0.5 | eta=15 | seed=1988 | session=moo_NSGA2_P0.01_C0.5_E15_S1988_20250714_162522
[2025-07-14 16:25:22] ✅ LAUNCHED [20250714_162522]: algo=NSGA2 | P=0.01 | C=0.5 | eta=15 | seed=1521 | session=moo_NSGA2_P0.01_C0.5_E15_S1521_20250714_162522
[2025-07-14 16:25:22] ✅ LAUNCHED [20250714_162522]: algo=NSGA2 | P=0.01 | C=0.5 | eta=15 | seed=517 | session=moo_NSGA2_P0.01_C0.5_E15_S517_20250714_162522
[2025-07-14 16:25:22] ✅ LAUNCHED [20250714_162522]: algo=NSGA2 | P=0.01 | C=0.5 | eta=15 | seed=1213 | session=moo_NSGA2_P0.01_C0.5_E15_S1213_20250714_162522
[2025-07-14 16:25:22] ✅ LAUNCHED [20250714_162522]: algo=NSGA2 | P=0.01 | C=0.5 | eta=15 | seed=1847 | session=moo_NSGA2_P0.01_C0.5_E15_S1847_20250714_162522
[2025-07-14 16:25:22] ✅ LAUNCHED [20250714_162522]: algo=NSGA2 | P=0.01 | C=0.5 | eta=15 | seed=528 | session=moo_NSGA2_P0.01_C0.5_E15_S528_20250714_162522
[2025-07-14 16:25:22] ✅ LAUNCHED [20250714_162522]: algo=NSGA2 | P=0.01 | C=0.5 | eta=15 | seed=34 | session=moo_NSGA2_P0.01_C0.5_E15_S34_20250714_162522
[2025-07-14 16:25:22] ✅ LAUNCHED [20250714_162522]: algo=RNSGA2 | P=0.01 | C=0.5 | eta=15 | seed=1074 | session=moo_RNSGA2_P0.01_C0.5_E15_S1074_20250714_162522
[2025-07-14 16:25:22] ✅ LAUNCHED [20250714_162522]: algo=RNSGA2 | P=0.01 | C=0.5 | eta=15 | seed=1324 | session=moo_RNSGA2_P0.01_C0.5_E15_S1324_20250714_162522
[2025-07-14 16:25:22] ✅ LAUNCHED [20250714_162522]: algo=RNSGA2 | P=0.01 | C=0.5 | eta=15 | seed=1238 | session=moo_RNSGA2_P0.01_C0.5_E15_S1238_20250714_162522
[2025-07-14 16:25:23] ✅ LAUNCHED [20250714_162522]: algo=RNSGA2 | P=0.01 | C=0.5 | eta=15 | seed=1696 | session=moo_RNSGA2_P0.01_C0.5_E15_S1696_20250714_162522
[2025-07-14 16:25:23] ✅ LAUNCHED [20250714_162522]: algo=RNSGA2 | P=0.01 | C=0.5 | eta=15 | seed=1073 | session=moo_RNSGA2_P0.01_C0.5_E15_S1073_20250714_162522
[2025-07-14 16:25:23] ✅ LAUNCHED [20250714_162522]: algo=RNSGA2 | P=0.01 | C=0.5 | eta=15 | seed=1722 | session=moo_RNSGA2_P0.01_C0.5_E15_S1722_20250714_162522
[2025-07-14 16:25:23] ✅ LAUNCHED [20250714_162522]: algo=RNSGA2 | P=0.01 | C=0.5 | eta=15 | seed=494 | session=moo_RNSGA2_P0.01_C0.5_E15_S494_20250714_162522
[2025-07-14 16:25:23] ✅ LAUNCHED [20250714_162522]: algo=RNSGA2 | P=0.01 | C=0.5 | eta=15 | seed=1375 | session=moo_RNSGA2_P0.01_C0.5_E15_S1375_20250714_162522
[2025-07-14 16:25:23] ✅ LAUNCHED [20250714_162522]: algo=RNSGA2 | P=0.01 | C=0.5 | eta=15 | seed=1127 | session=moo_RNSGA2_P0.01_C0.5_E15_S1127_20250714_162522
[2025-07-14 16:25:23] ✅ LAUNCHED [20250714_162522]: algo=RNSGA2 | P=0.01 | C=0.5 | eta=15 | seed=687 | session=moo_RNSGA2_P0.01_C0.5_E15_S687_20250714_162522
[2025-07-14 16:25:23] ✅ LAUNCHED [20250714_162522]: algo=RNSGA2 | P=0.01 | C=0.5 | eta=15 | seed=591 | session=moo_RNSGA2_P0.01_C0.5_E15_S591_20250714_162522
[2025-07-14 16:25:23] ✅ LAUNCHED [20250714_162522]: algo=RNSGA2 | P=0.01 | C=0.5 | eta=15 | seed=260 | session=moo_RNSGA2_P0.01_C0.5_E15_S260_20250714_162522
[2025-07-14 16:25:23] ✅ LAUNCHED [20250714_162522]: algo=RNSGA2 | P=0.01 | C=0.5 | eta=15 | seed=1278 | session=moo_RNSGA2_P0.01_C0.5_E15_S1278_20250714_162522
[2025-07-14 16:25:23] ✅ LAUNCHED [20250714_162522]: algo=RNSGA2 | P=0.01 | C=0.5 | eta=15 | seed=1771 | session=moo_RNSGA2_P0.01_C0.5_E15_S1771_20250714_162522
[2025-07-14 16:25:23] ✅ LAUNCHED [20250714_162522]: algo=RNSGA2 | P=0.01 | C=0.5 | eta=15 | seed=1705 | session=moo_RNSGA2_P0.01_C0.5_E15_S1705_20250714_162522
[2025-07-14 16:25:23] ✅ LAUNCHED [20250714_162522]: algo=RNSGA2 | P=0.01 | C=0.5 | eta=15 | seed=1890 | session=moo_RNSGA2_P0.01_C0.5_E15_S1890_20250714_162522
[2025-07-14 16:25:23] ✅ LAUNCHED [20250714_162522]: algo=RNSGA2 | P=0.01 | C=0.5 | eta=15 | seed=608 | session=moo_RNSGA2_P0.01_C0.5_E15_S608_20250714_162522
[2025-07-14 16:25:23] ✅ LAUNCHED [20250714_162522]: algo=RNSGA2 | P=0.01 | C=0.5 | eta=15 | seed=1519 | session=moo_RNSGA2_P0.01_C0.5_E15_S1519_20250714_162522
[2025-07-14 16:25:23] ✅ LAUNCHED [20250714_162522]: algo=RNSGA2 | P=0.01 | C=0.5 | eta=15 | seed=1908 | session=moo_RNSGA2_P0.01_C0.5_E15_S1908_20250714_162522
[2025-07-14 16:25:23] ✅ LAUNCHED [20250714_162522]: algo=RNSGA2 | P=0.01 | C=0.5 | eta=15 | seed=183 | session=moo_RNSGA2_P0.01_C0.5_E15_S183_20250714_162522
[2025-07-14 16:25:23] ✅ LAUNCHED [20250714_162522]: algo=RNSGA2 | P=0.01 | C=0.5 | eta=15 | seed=1611 | session=moo_RNSGA2_P0.01_C0.5_E15_S1611_20250714_162522
[2025-07-14 16:25:23] ✅ LAUNCHED [20250714_162522]: algo=MOEAD | P=0.01 | C=0.5 | eta=15 | seed=1877 | session=moo_MOEAD_P0.01_C0.5_E15_S1877_20250714_162522
[2025-07-14 16:25:23] ✅ LAUNCHED [20250714_162522]: algo=MOEAD | P=0.01 | C=0.5 | eta=15 | seed=67 | session=moo_MOEAD_P0.01_C0.5_E15_S67_20250714_162522
[2025-07-14 16:25:23] ✅ LAUNCHED [20250714_162522]: algo=MOEAD | P=0.01 | C=0.5 | eta=15 | seed=721 | session=moo_MOEAD_P0.01_C0.5_E15_S721_20250714_162522
[2025-07-14 16:25:23] ✅ LAUNCHED [20250714_162522]: algo=MOEAD | P=0.01 | C=0.5 | eta=15 | seed=1219 | session=moo_MOEAD_P0.01_C0.5_E15_S1219_20250714_162522
[2025-07-14 16:25:23] ✅ LAUNCHED [20250714_162522]: algo=MOEAD | P=0.01 | C=0.5 | eta=15 | seed=1928 | session=moo_MOEAD_P0.01_C0.5_E15_S1928_20250714_162522
[2025-07-14 16:25:23] ✅ LAUNCHED [20250714_162522]: algo=MOEAD | P=0.01 | C=0.5 | eta=15 | seed=1785 | session=moo_MOEAD_P0.01_C0.5_E15_S1785_20250714_162522
[2025-07-14 16:25:23] ✅ LAUNCHED [20250714_162522]: algo=MOEAD | P=0.01 | C=0.5 | eta=15 | seed=1109 | session=moo_MOEAD_P0.01_C0.5_E15_S1109_20250714_162522
[2025-07-14 16:25:23] ✅ LAUNCHED [20250714_162522]: algo=MOEAD | P=0.01 | C=0.5 | eta=15 | seed=1360 | session=moo_MOEAD_P0.01_C0.5_E15_S1360_20250714_162522
[2025-07-14 16:25:23] ✅ LAUNCHED [20250714_162522]: algo=MOEAD | P=0.01 | C=0.5 | eta=15 | seed=1212 | session=moo_MOEAD_P0.01_C0.5_E15_S1212_20250714_162522
[2025-07-14 16:25:23] ✅ LAUNCHED [20250714_162522]: algo=MOEAD | P=0.01 | C=0.5 | eta=15 | seed=109 | session=moo_MOEAD_P0.01_C0.5_E15_S109_20250714_162522
[2025-07-14 16:25:23] ✅ LAUNCHED [20250714_162522]: algo=MOEAD | P=0.01 | C=0.5 | eta=15 | seed=797 | session=moo_MOEAD_P0.01_C0.5_E15_S797_20250714_162522
[2025-07-14 16:25:24] ✅ LAUNCHED [20250714_162522]: algo=MOEAD | P=0.01 | C=0.5 | eta=15 | seed=1498 | session=moo_MOEAD_P0.01_C0.5_E15_S1498_20250714_162522
[2025-07-14 16:25:24] ✅ LAUNCHED [20250714_162522]: algo=MOEAD | P=0.01 | C=0.5 | eta=15 | seed=968 | session=moo_MOEAD_P0.01_C0.5_E15_S968_20250714_162522
[2025-07-14 16:25:24] ✅ LAUNCHED [20250714_162522]: algo=MOEAD | P=0.01 | C=0.5 | eta=15 | seed=258 | session=moo_MOEAD_P0.01_C0.5_E15_S258_20250714_162522
[2025-07-14 16:25:24] ✅ LAUNCHED [20250714_162522]: algo=MOEAD | P=0.01 | C=0.5 | eta=15 | seed=1541 | session=moo_MOEAD_P0.01_C0.5_E15_S1541_20250714_162522
[2025-07-14 16:25:24] ✅ LAUNCHED [20250714_162522]: algo=MOEAD | P=0.01 | C=0.5 | eta=15 | seed=1851 | session=moo_MOEAD_P0.01_C0.5_E15_S1851_20250714_162522
[2025-07-14 16:25:24] ✅ LAUNCHED [20250714_162522]: algo=MOEAD | P=0.01 | C=0.5 | eta=15 | seed=1512 | session=moo_MOEAD_P0.01_C0.5_E15_S1512_20250714_162522
[2025-07-14 16:25:24] ✅ LAUNCHED [20250714_162522]: algo=MOEAD | P=0.01 | C=0.5 | eta=15 | seed=1035 | session=moo_MOEAD_P0.01_C0.5_E15_S1035_20250714_162522
[2025-07-14 16:25:24] ✅ LAUNCHED [20250714_162522]: algo=MOEAD | P=0.01 | C=0.5 | eta=15 | seed=1008 | session=moo_MOEAD_P0.01_C0.5_E15_S1008_20250714_162522
[2025-07-14 16:25:24] ✅ LAUNCHED [20250714_162522]: algo=MOEAD | P=0.01 | C=0.5 | eta=15 | seed=1447 | session=moo_MOEAD_P0.01_C0.5_E15_S1447_20250714_162522
[2025-07-14 16:25:24] ✅ LAUNCHED [20250714_162522]: algo=MOEAD | P=0.01 | C=0.5 | eta=15 | seed=42 | session=moo_MOEAD_P0.01_C0.5_E15_S42_20250714_162522
[2025-07-14 16:25:24] ✅ LAUNCHED [20250714_162522]: algo=SMSEMOA | P=0.01 | C=0.5 | eta=15 | seed=520 | session=moo_SMSEMOA_P0.01_C0.5_E15_S520_20250714_162522
[2025-07-14 16:25:24] ✅ LAUNCHED [20250714_162522]: algo=SMSEMOA | P=0.01 | C=0.5 | eta=15 | seed=1786 | session=moo_SMSEMOA_P0.01_C0.5_E15_S1786_20250714_162522
[2025-07-14 16:25:24] ✅ LAUNCHED [20250714_162522]: algo=SMSEMOA | P=0.01 | C=0.5 | eta=15 | seed=300 | session=moo_SMSEMOA_P0.01_C0.5_E15_S300_20250714_162522
[2025-07-14 16:25:24] ✅ LAUNCHED [20250714_162522]: algo=SMSEMOA | P=0.01 | C=0.5 | eta=15 | seed=1011 | session=moo_SMSEMOA_P0.01_C0.5_E15_S1011_20250714_162522
[2025-07-14 16:25:24] ✅ LAUNCHED [20250714_162522]: algo=SMSEMOA | P=0.01 | C=0.5 | eta=15 | seed=1939 | session=moo_SMSEMOA_P0.01_C0.5_E15_S1939_20250714_162522
[2025-07-14 16:25:24] ✅ LAUNCHED [20250714_162522]: algo=SMSEMOA | P=0.01 | C=0.5 | eta=15 | seed=1390 | session=moo_SMSEMOA_P0.01_C0.5_E15_S1390_20250714_162522
[2025-07-14 16:25:24] ✅ LAUNCHED [20250714_162522]: algo=SMSEMOA | P=0.01 | C=0.5 | eta=15 | seed=1574 | session=moo_SMSEMOA_P0.01_C0.5_E15_S1574_20250714_162522
[2025-07-14 16:25:24] ✅ LAUNCHED [20250714_162522]: algo=SMSEMOA | P=0.01 | C=0.5 | eta=15 | seed=426 | session=moo_SMSEMOA_P0.01_C0.5_E15_S426_20250714_162522
[2025-07-14 16:25:24] ✅ LAUNCHED [20250714_162522]: algo=SMSEMOA | P=0.01 | C=0.5 | eta=15 | seed=136 | session=moo_SMSEMOA_P0.01_C0.5_E15_S136_20250714_162522
[2025-07-14 16:25:24] ✅ LAUNCHED [20250714_162522]: algo=SMSEMOA | P=0.01 | C=0.5 | eta=15 | seed=1837 | session=moo_SMSEMOA_P0.01_C0.5_E15_S1837_20250714_162522
[2025-07-14 16:25:24] ✅ LAUNCHED [20250714_162522]: algo=SMSEMOA | P=0.01 | C=0.5 | eta=15 | seed=1207 | session=moo_SMSEMOA_P0.01_C0.5_E15_S1207_20250714_162522
[2025-07-14 16:25:24] ✅ LAUNCHED [20250714_162522]: algo=SMSEMOA | P=0.01 | C=0.5 | eta=15 | seed=217 | session=moo_SMSEMOA_P0.01_C0.5_E15_S217_20250714_162522
[2025-07-14 16:25:24] ✅ LAUNCHED [20250714_162522]: algo=SMSEMOA | P=0.01 | C=0.5 | eta=15 | seed=708 | session=moo_SMSEMOA_P0.01_C0.5_E15_S708_20250714_162522
[2025-07-14 16:25:24] ✅ LAUNCHED [20250714_162522]: algo=SMSEMOA | P=0.01 | C=0.5 | eta=15 | seed=1720 | session=moo_SMSEMOA_P0.01_C0.5_E15_S1720_20250714_162522
[2025-07-14 16:25:24] ✅ LAUNCHED [20250714_162522]: algo=SMSEMOA | P=0.01 | C=0.5 | eta=15 | seed=502 | session=moo_SMSEMOA_P0.01_C0.5_E15_S502_20250714_162522
[2025-07-14 16:25:24] ✅ LAUNCHED [20250714_162522]: algo=SMSEMOA | P=0.01 | C=0.5 | eta=15 | seed=13 | session=moo_SMSEMOA_P0.01_C0.5_E15_S13_20250714_162522
[2025-07-14 16:25:25] ✅ LAUNCHED [20250714_162522]: algo=SMSEMOA | P=0.01 | C=0.5 | eta=15 | seed=1441 | session=moo_SMSEMOA_P0.01_C0.5_E15_S1441_20250714_162522
[2025-07-14 16:25:25] ✅ LAUNCHED [20250714_162522]: algo=SMSEMOA | P=0.01 | C=0.5 | eta=15 | seed=1405 | session=moo_SMSEMOA_P0.01_C0.5_E15_S1405_20250714_162522
[2025-07-14 16:25:25] ✅ LAUNCHED [20250714_162522]: algo=SMSEMOA | P=0.01 | C=0.5 | eta=15 | seed=578 | session=moo_SMSEMOA_P0.01_C0.5_E15_S578_20250714_162522
[2025-07-14 16:25:25] ✅ LAUNCHED [20250714_162522]: algo=SMSEMOA | P=0.01 | C=0.5 | eta=15 | seed=1508 | session=moo_SMSEMOA_P0.01_C0.5_E15_S1508_20250714_162522
[2025-07-14 16:25:25] ✅ LAUNCHED [20250714_162522]: algo=SMSEMOA | P=0.01 | C=0.5 | eta=15 | seed=112 | session=moo_SMSEMOA_P0.01_C0.5_E15_S112_20250714_162522
[2025-07-14 16:25:25] ✅ LAUNCHED [20250714_162522]: algo=NSGA3 | P=0.01 | C=0.5 | eta=15 | seed=348 | session=moo_NSGA3_P0.01_C0.5_E15_S348_20250714_162522
[2025-07-14 16:25:25] ✅ LAUNCHED [20250714_162522]: algo=NSGA3 | P=0.01 | C=0.5 | eta=15 | seed=76 | session=moo_NSGA3_P0.01_C0.5_E15_S76_20250714_162522
