[2025-07-14 16:26:31] NSGA2 | P=0.01 | C=0.5 | eta=15 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:31] NSGA2 | P=0.01 | C=0.5 | eta=20 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:31] NSGA2 | P=0.01 | C=0.7 | eta=15 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:31] NSGA2 | P=0.01 | C=0.7 | eta=20 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:31] NSGA2 | P=0.01 | C=0.9 | eta=15 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:31] NSGA2 | P=0.01 | C=0.9 | eta=20 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:31] NSGA2 | P=0.4 | C=0.5 | eta=15 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:31] NSGA2 | P=0.4 | C=0.5 | eta=20 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:31] NSGA2 | P=0.4 | C=0.7 | eta=15 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:31] NSGA2 | P=0.4 | C=0.7 | eta=20 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:31] NSGA2 | P=0.4 | C=0.9 | eta=15 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:31] NSGA2 | P=0.4 | C=0.9 | eta=20 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:31] NSGA2 | P=0.7 | C=0.5 | eta=15 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:31] NSGA2 | P=0.7 | C=0.5 | eta=20 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:31] NSGA2 | P=0.7 | C=0.7 | eta=15 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:31] NSGA2 | P=0.7 | C=0.7 | eta=20 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:31] NSGA2 | P=0.7 | C=0.9 | eta=15 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:31] NSGA2 | P=0.7 | C=0.9 | eta=20 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:31] RNSGA2 | P=0.01 | C=0.5 | eta=15 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:31] RNSGA2 | P=0.01 | C=0.5 | eta=20 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:31] RNSGA2 | P=0.01 | C=0.7 | eta=15 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:31] RNSGA2 | P=0.01 | C=0.7 | eta=20 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:31] RNSGA2 | P=0.01 | C=0.9 | eta=15 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:31] RNSGA2 | P=0.01 | C=0.9 | eta=20 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:31] RNSGA2 | P=0.4 | C=0.5 | eta=15 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:31] RNSGA2 | P=0.4 | C=0.5 | eta=20 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:31] RNSGA2 | P=0.4 | C=0.7 | eta=15 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:31] RNSGA2 | P=0.4 | C=0.7 | eta=20 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:31] RNSGA2 | P=0.4 | C=0.9 | eta=15 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:31] RNSGA2 | P=0.4 | C=0.9 | eta=20 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:31] RNSGA2 | P=0.7 | C=0.5 | eta=15 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:31] RNSGA2 | P=0.7 | C=0.5 | eta=20 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:31] RNSGA2 | P=0.7 | C=0.7 | eta=15 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:31] RNSGA2 | P=0.7 | C=0.7 | eta=20 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:31] RNSGA2 | P=0.7 | C=0.9 | eta=15 => 0/21 runs -> ❌ Not Started
[2025-07-14 16:26:31] RNSGA2 | P=0.7 | C=0.9 | eta=20 => 0/21 runs -> ❌ Not Started
